stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,ineo_id,ineo_mnemoc,ineo_mnemol,ineo_noc,ineo_nol,ineo_nomc
7567,GOR07R,Halte TER La Gorp,44.92811100,-0.49749700,33003,,0,BHALGOR,1,4412,HALG,GOR07R,7567,4412,Halte TER La Gorp
5181,HAEPS,Hameau d'Epsom,44.82479584,-0.49802744,,,0,,0,4214,HAEP,HAEPS,5181,4214,Hameau d'Epsom
1670,REI42R,Hameau de la Reine,44.78155600,-0.61895300,33192,,0,BREINE,1,1768,REIN,REI42R,1670,1768,Hameau la Reine
502,REI42A,Hameau de la Reine,44.78169500,-0.62024000,33192,,0,BREINE,1,1767,REIN,REI42A,502,1767,Hameau la Reine
1552,HAM58R,Hameau du Château,44.94267700,-0.60264400,33312,,0,BHAMCHA,1,1769,HAMC,HAM58R,1552,1769,Hameau du Château
811,HAM58A,Hameau du Château,44.94261300,-0.60241200,33312,,0,BHAMCHA,0,1770,HAMC,HAM58A,811,1770,Hameau du Château
4770,HAM44R,Hameaux de l'Alouette,44.78434800,-0.69087600,33318,,0,BHAMALO,1,1772,HAMA,HAM44R,4770,1772,Hameaux Alouette
4771,HAM44A,Hameaux de l'Alouette,44.78380400,-0.69043500,33318,,0,BHAMALO,1,1771,HAMA,HAM44A,4771,1771,Hameaux Alouette
9497,SCOHAPA,Happy Parc,44.82110300,-0.62284400,33281,,0,BSCOHAP,0,,,,,,
9498,SCOHAPR,Happy Parc,44.82105400,-0.62268900,33281,,0,BSCOHAP,0,,,,,,
623,MET71A,Hastignan Bourg,44.89695800,-0.74125100,33449,,0,BMETAIE,1,2788,META,MET71A,623,2788,Hastignan Bourg
6651,HAS71R,Hastignan Bourg,44.89765934,-0.74530528,,,0,,0,1774,HAST,HAS71R,6651,1774,Hastignan Bourg
6652,HAS71A,Hastignan Bourg,44.89761989,-0.74487147,,,0,,0,1773,HAST,HAS71A,6652,1773,Hastignan Bourg
8521,HAB71R,Hastignan Bourg,44.89682481,-0.74278936,,,0,,0,4737,HAST,HAB71R,8521,4737,Hastignan Bourg
975,CHZ71R,Hastignan Bourg,44.89705400,-0.74213300,33449,,0,BCHAZEA,1,854,CHAZ,CHZ71R,975,854,Hastignan Bourg
633,HLI46R,Haut Livrac,44.80086600,-0.67578300,33318,,0,BHLIVRA,1,1778,HLIV,HLI46R,633,1778,Haut Livrac
772,HLI46A,Haut Livrac,44.80088900,-0.67562000,33318,,0,BHLIVRA,1,1779,HLIV,HLI46A,772,1779,Haut Livrac
9431,SCOHAU,Haut Pontac,44.77158500,-0.55645600,33550,,0,BSCOHAU,0,,,,,,
1532,HVI43R,Haut Vigneau,44.77190049,-0.62622647,,,0,,0,1782,HVIG,HVI43R,1532,1782,Haut Vigneau
2626,HVI43A,Haut Vigneau,44.77165467,-0.62657753,,,0,,0,1783,HVIG,HVI43A,2626,1783,Haut Vigneau
6425,HAU32A,Hautefort,44.87034500,-0.51308400,33249,,0,BHAUTEF,1,1786,HAUT,HAU32A,6425,1786,Hautefort
6426,HAU32R,Hautefort,44.87026800,-0.51296500,33249,,0,BHAUTEF,1,1787,HAUT,HAU32R,6426,1787,Hautefort
1237,HGU06R,Hauts de Guitres,44.83007600,-0.52084900,33167,,0,BHGUIT,0,1788,HGUI,HGU06R,1237,1788,Hauts de Guitres
